ら戳,程蔼放,程放
2018/10/6,19,12
2018/10/7,18,11
2018/10/8,18,8
2018/10/9,18,7
2018/10/10,17,12
2018/10/11,19,12
2018/10/12,16,9
2018/10/13,16,8
2018/10/14,16,8
2018/10/15,17,9
2018/10/16,14,6
2018/10/17,13,6
2018/10/18,13,4
2018/10/19,14,5
2018/10/20,16,5
2018/10/21,17,4
2018/10/22,16,7
2018/10/23,16,12
2018/10/24,17,8
2018/10/25,16,4
2018/10/26,14,10
2018/10/27,16,6
2018/10/28,13,7
2018/10/29,12,3
2018/10/30,9,4
2018/10/31,10,4
2018/11/1,11,4
2018/11/2,14,1
2018/11/3,16,3
2018/11/4,17,6
2018/11/5,14,6
2018/11/6,12,1
2018/11/7,10,0
2018/11/8,9,5
2018/11/9,13,8
2018/11/10,14,4
2018/11/11,10,4
2018/11/12,10,1
2018/11/13,9,0
2018/11/14,8,2
2018/11/15,9,2
2018/11/16,11,0
2018/11/17,6,1
2018/11/18,7,0
2018/11/19,7,0
2018/11/20,5,-3
2018/11/21,4,-1
2018/11/22,1,-2
2018/11/23,-2,-4
2018/11/24,1,-3
2018/11/25,7,0
2018/11/26,6,2
2018/11/27,10,1
2018/11/28,5,-1
2018/11/29,0,-3
2018/11/30,-1,-4
2018/12/1,0,-2
2018/12/2,4,-1
2018/12/3,7,0
2018/12/4,11,5
2018/12/5,6,-3
2018/12/6,0,-3
2018/12/7,-2,-7
2018/12/8,-6,-8
2018/12/9,-6,-7
2018/12/10,-5,-7
2018/12/11,-1,-7
2018/12/12,-2,-6
2018/12/13,-2,-7
2018/12/14,-2,-5
2018/12/15,-1,-6
2018/12/16,2,-4
2018/12/17,2,-1
2018/12/18,0,-3
2018/12/19,0,-5
2018/12/20,-2,-5
2018/12/21,0,-4
2018/12/22,3,-1
2018/12/23,1,-2
2018/12/24,-3,-5
2018/12/25,-1,-4
2018/12/26,-1,-8
2018/12/27,-7,-10
2018/12/28,-5,-7
2018/12/29,-4,-6
2018/12/30,-1,-5
2018/12/31,-1,-4
