ら戳,程蔼放,程放
2018/1/1,28,22
2018/1/2,29,23
2018/1/3,28,24
2018/1/4,27,24
2018/1/5,29,24
2018/1/6,30,26
2018/1/7,31,26
2018/1/8,29,26
2018/1/9,29,26
2018/1/10,30,26
2018/1/11,29,26
2018/1/12,31,26
2018/1/13,31,27
2018/1/14,30,27
2018/1/15,30,26
2018/1/16,31,26
2018/1/17,31,26
2018/1/18,31,25
2018/1/19,31,26
2018/1/20,31,26
2018/1/21,31,26
2018/1/22,29,25
2018/1/23,30,25
2018/1/24,29,25
2018/1/25,29,25
2018/1/26,28,25
2018/1/27,28,25
2018/1/28,29,25
2018/1/29,28,25
2018/1/30,28,25
2018/1/31,28,23
2018/2/1,27,22
2018/2/2,29,21
2018/2/3,28,20
2018/2/4,28,20
2018/2/5,28,20
2018/2/6,28,19
2018/2/7,28,20
2018/2/8,29,22
2018/2/9,29,23
2018/2/10,29,24
2018/2/11,29,24
2018/2/12,31,22
2018/2/13,30,22
2018/2/14,30,23
2018/2/15,30,24
2018/2/16,31,24
2018/2/17,31,24
2018/2/18,30,25
2018/2/19,30,25
2018/2/20,29,25
2018/2/21,30,25
2018/2/22,30,25
2018/2/23,29,25
2018/2/24,29,25
2018/2/25,30,25
2018/2/26,31,25
2018/2/27,29,25
2018/2/28,30,26
2018/3/1,31,26
2018/3/2,31,26
2018/3/3,31,26
2018/3/4,31,26
2018/3/5,32,26
2018/3/6,31,26
2018/3/7,30,26
2018/3/8,30,24
2018/3/9,30,23
2018/3/10,31,23
2018/3/11,31,24
2018/3/12,31,25
2018/3/13,31,26
2018/3/14,31,25
2018/3/15,30,25
2018/3/16,30,25
2018/3/17,30,25
2018/3/18,30,25
2018/3/19,31,26
2018/3/20,31,25
2018/3/21,30,24
2018/3/22,30,25
2018/3/23,30,25
2018/3/24,32,25
2018/3/25,31,26
2018/3/26,32,26
2018/3/27,30,26
2018/3/28,31,25
2018/3/29,30,26
2018/3/30,31,26
2018/3/31,30,25
2018/4/1,29,25
2018/4/2,30,25
2018/4/3,30,26
2018/4/4,30,25
2018/4/5,30,26
2018/4/6,31,24
2018/4/7,28,22
2018/4/8,31,22
2018/4/9,33,25
2018/4/10,32,26
2018/4/11,31,27
2018/4/12,32,27
2018/4/13,33,27
2018/4/14,33,27
2018/4/15,33,27
2018/4/16,32,26
2018/4/17,31,26
2018/4/18,32,26
2018/4/19,32,26
2018/4/20,32,26
2018/4/21,32,27
2018/4/22,32,27
2018/4/23,32,27
2018/4/24,33,28
2018/4/25,33,27
2018/4/26,32,27
2018/4/27,32,26
2018/4/28,30,25
2018/4/29,30,26
2018/4/30,30,25
2018/5/1,30,26
2018/5/2,31,26
2018/5/3,31,26
2018/5/4,31,26
2018/5/5,32,27
2018/5/6,32,26
2018/5/7,32,27
2018/5/8,31,27
2018/5/9,32,26
2018/5/10,31,27
2018/5/11,31,26
2018/5/12,31,26
2018/5/13,31,26
2018/5/14,31,26
2018/5/15,31,26
2018/5/16,32,26
2018/5/17,32,25
2018/5/18,32,26
2018/5/19,32,25
2018/5/20,32,26
2018/5/21,32,26
2018/5/22,32,25
2018/5/23,32,25
2018/5/24,32,25
2018/5/25,32,25
2018/5/26,33,26
2018/5/27,32,25
2018/5/28,34,25
2018/5/29,33,24
2018/5/30,33,25
2018/5/31,33,24
2018/6/1,33,24
2018/6/2,33,25
2018/6/3,30,27
2018/6/4,34,25
2018/6/5,33,25
2018/6/6,33,25
2018/6/7,33,25
2018/6/8,32,25
2018/6/9,32,25
2018/6/10,32,25
2018/6/11,32,25
2018/6/12,32,25
2018/6/13,32,25
2018/6/14,30,27
2018/6/15,30,27
2018/6/16,29,27
2018/6/17,29,27
2018/6/18,29,26
2018/6/19,29,27
2018/6/20,29,26
2018/6/21,29,27
2018/6/22,30,27
2018/6/23,30,27
2018/6/24,30,27
2018/6/25,30,26
2018/6/26,29,25
2018/6/27,29,26
2018/6/28,29,26
2018/6/29,31,26
2018/6/30,29,26
2018/7/1,30,26
2018/7/2,31,27
2018/7/3,30,27
2018/7/4,30,26
2018/7/5,29,27
2018/7/6,29,27
2018/7/7,29,27
2018/7/8,30,27
2018/7/9,30,27
2018/7/10,29,26
2018/7/11,29,27
2018/7/12,29,26
2018/7/13,29,23
2018/7/14,29,26
2018/7/15,28,27
2018/7/16,29,26
2018/7/17,30,26
2018/7/18,30,26
2018/7/19,30,27
2018/7/20,30,27
2018/7/21,30,27
2018/7/22,30,27
2018/7/23,30,27
2018/7/24,30,27
2018/7/25,31,26
2018/7/26,32,26
2018/7/27,31,27
2018/7/28,31,27
2018/7/29,32,27
2018/7/30,31,26
2018/7/31,29,26
2018/8/1,30,26
2018/8/2,29,26
2018/8/3,30,26
2018/8/4,30,26
2018/8/5,30,26
2018/8/6,30,26
2018/8/7,30,26
2018/8/8,31,26
2018/8/9,30,26
2018/8/10,30,26
2018/8/11,30,26
2018/8/12,30,26
2018/8/13,29,26
2018/8/14,30,26
2018/8/15,29,26
2018/8/16,29,26
2018/8/17,30,26
2018/8/18,30,26
2018/8/19,30,26
2018/8/20,29,26
2018/8/21,31,26
2018/8/22,31,26
2018/8/23,31,26
2018/8/24,30,26
2018/8/25,29,26
2018/8/26,29,26
2018/8/27,28,26
2018/8/28,29,26
2018/8/29,29,26
2018/8/30,30,26
2018/8/31,30,26
2018/9/1,30,26
2018/9/2,31,26
2018/9/3,30,26
2018/9/4,28,25
2018/9/5,28,25
2018/9/6,31,26
2018/9/7,32,26
2018/9/8,31,26
2018/9/9,29,25
2018/9/10,31,25
2018/9/11,31,26
2018/9/12,31,26
2018/9/13,31,26
2018/9/14,30,26
2018/9/15,30,25
2018/9/16,30,26
2018/9/17,30,26
2018/9/18,29,25
2018/9/19,28,25
2018/9/20,31,26
2018/9/21,32,26
2018/9/22,31,25
2018/9/23,30,25
2018/9/24,30,26
2018/9/25,30,26
2018/9/26,30,26
2018/9/27,31,26
2018/9/28,31,26
2018/9/29,31,25
2018/9/30,30,26
2018/10/1,30,25
2018/10/2,31,25
2018/10/3,31,25
2018/10/4,32,25
2018/10/5,29,24
2018/10/6,30,25
2018/10/7,30,25
2018/10/8,30,25
2018/10/9,30,24
2018/10/10,31,25
2018/10/11,31,25
2018/10/12,31,25
2018/10/13,32,25
2018/10/14,31,25
2018/10/15,30,25
2018/10/16,30,26
2018/10/17,30,26
2018/10/18,31,25
2018/10/19,30,25
2018/10/20,30,25
2018/10/21,29,25
2018/10/22,30,25
2018/10/23,30,25
2018/10/24,30,25
2018/10/25,29,25
2018/10/26,30,25
2018/10/27,31,25
2018/10/28,31,25
2018/10/29,31,24
2018/10/30,31,22
2018/10/31,29,22
2018/11/1,29,22
2018/11/2,30,22
2018/11/3,31,23
2018/11/4,31,24
2018/11/5,32,25
2018/11/6,32,25
2018/11/7,32,25
2018/11/8,31,25
2018/11/9,29,25
2018/11/10,29,24
2018/11/11,31,25
2018/11/12,31,25
2018/11/13,31,25
2018/11/14,31,25
2018/11/15,30,25
2018/11/16,30,26
2018/11/17,29,25
2018/11/18,29,25
2018/11/19,30,25
2018/11/20,30,25
2018/11/21,31,27
2018/11/22,30,27
2018/11/23,30,26
2018/11/24,30,26
2018/11/25,30,26
2018/11/26,29,25
2018/11/27,27,24
2018/11/28,30,24
2018/11/29,31,25
2018/11/30,31,26
2018/12/1,30,26
2018/12/2,31,26
2018/12/3,31,27
2018/12/4,32,27
2018/12/5,32,27
2018/12/6,32,26
2018/12/7,31,27
2018/12/8,30,26
2018/12/9,31,26
2018/12/10,30,25
2018/12/11,30,26
2018/12/12,30,26
2018/12/13,29,24
2018/12/14,30,23
2018/12/15,30,24
2018/12/16,30,25
2018/12/17,30,24
2018/12/18,30,24
2018/12/19,30,25
2018/12/20,30,27
2018/12/21,29,27
2018/12/22,30,27
2018/12/23,31,28
2018/12/24,31,26
2018/12/25,30,27
2018/12/26,30,27
2018/12/27,30,26
2018/12/28,30,27
2018/12/29,29,26
2018/12/30,28,25
2018/12/31,29,23
