ら戳,程蔼放,程放
2018/9/8,28,23
2018/9/9,29,23
2018/9/10,26,19
2018/9/11,28,22
2018/9/12,25,20
2018/9/13,28,20
2018/9/14,27,23
2018/9/15,29,23
2018/9/16,30,23
2018/9/17,30,20
2018/9/18,29,18
2018/9/19,28,19
2018/9/20,22,20
2018/9/21,28,24
2018/9/22,28,17
2018/9/23,28,19
2018/9/24,28,20
2018/9/25,24,18
2018/9/26,24,18
2018/9/27,24,17
2018/9/28,26,18
2018/9/29,21,19
2018/9/30,26,20
2018/10/1,23,16
2018/10/2,24,15
2018/10/3,26,18
2018/10/4,22,20
2018/10/5,28,23
2018/10/6,30,20
2018/10/7,27,16
2018/10/8,27,16
2018/10/9,26,17
2018/10/10,26,18
2018/10/11,21,14
2018/10/12,20,13
2018/10/13,21,14
2018/10/14,23,13
2018/10/15,23,13
2018/10/16,22,13
2018/10/17,22,12
2018/10/18,23,13
2018/10/19,22,13
2018/10/20,20,12
2018/10/21,22,10
2018/10/22,23,14
2018/10/23,20,16
2018/10/24,22,12
2018/10/25,21,11
2018/10/26,24,16
2018/10/27,20,12
2018/10/28,18,12
2018/10/29,20,13
2018/10/30,19,10
2018/10/31,17,9
2018/11/1,17,8
2018/11/2,19,9
2018/11/3,20,12
2018/11/4,21,14
2018/11/5,22,15
2018/11/6,21,13
2018/11/7,22,12
2018/11/8,22,14
2018/11/9,23,12
2018/11/10,20,9
2018/11/11,20,10
2018/11/12,20,11
2018/11/13,18,10
2018/11/14,16,9
2018/11/15,17,7
2018/11/16,18,9
2018/11/17,18,8
2018/11/18,18,10
2018/11/19,15,7
2018/11/20,14,5
2018/11/21,17,11
2018/11/22,14,10
2018/11/23,12,9
2018/11/24,14,8
2018/11/25,17,10
2018/11/26,16,12
2018/11/27,19,13
2018/11/28,17,13
2018/11/29,16,12
2018/11/30,15,10
2018/12/1,16,11
2018/12/2,18,10
2018/12/3,17,13
2018/12/4,23,15
2018/12/5,16,11
2018/12/6,15,11
2018/12/7,13,7
2018/12/8,9,4
2018/12/9,7,5
2018/12/10,9,5
2018/12/11,13,5
2018/12/12,12,7
2018/12/13,10,6
2018/12/14,8,5
2018/12/15,8,5
2018/12/16,13,4
2018/12/17,12,7
2018/12/18,10,7
2018/12/19,12,7
2018/12/20,13,10
2018/12/21,16,8
2018/12/22,14,10
2018/12/23,16,9
2018/12/24,10,7
2018/12/25,11,5
2018/12/26,9,7
2018/12/27,10,5
2018/12/28,5,2
2018/12/29,6,2
2018/12/30,6,3
2018/12/31,7,3
