ら戳,程蔼放,程放
2018/10/10,16,5
2018/10/11,15,6
2018/10/12,17,6
2018/10/13,18,5
2018/10/14,19,8
2018/10/15,22,6
2018/10/16,19,6
2018/10/17,18,7
2018/10/18,16,8
2018/10/19,19,8
2018/10/20,20,7
2018/10/21,20,6
2018/10/22,20,7
2018/10/23,20,7
2018/10/24,19,5
2018/10/25,20,10
2018/10/26,17,8
2018/10/27,12,5
2018/10/28,13,2
2018/10/29,13,1
2018/10/30,12,2
2018/10/31,13,3
2018/11/1,15,3
2018/11/2,17,4
2018/11/3,18,6
2018/11/4,19,5
2018/11/5,19,7
2018/11/6,17,8
2018/11/7,16,9
2018/11/8,17,10
2018/11/9,16,7
2018/11/10,16,2
2018/11/11,13,2
2018/11/12,14,4
2018/11/13,14,3
2018/11/14,15,4
2018/11/15,16,5
2018/11/16,13,-2
2018/11/17,12,-4
2018/11/18,12,3
2018/11/19,12,-4
2018/11/20,12,3
2018/11/21,10,5
2018/11/22,7,1
2018/11/23,6,1
2018/11/24,5,2
2018/11/25,10,3
2018/11/26,12,4
2018/11/27,12,6
2018/11/28,9,5
2018/11/29,7,4
2018/11/30,7,2
2018/12/1,9,3
2018/12/2,11,4
2018/12/3,11,8
2018/12/4,11,1
2018/12/5,5,0
2018/12/6,6,-2
2018/12/7,-2,-7
2018/12/8,-3,-8
2018/12/9,-2,-7
2018/12/10,0,-4
2018/12/11,3,0
2018/12/12,0,-2
2018/12/13,2,-3
2018/12/14,0,-4
2018/12/15,0,-4
2018/12/16,1,-1
2018/12/17,5,0
2018/12/18,5,0
2018/12/19,6,2
2018/12/20,7,1
2018/12/21,8,1
2018/12/22,8,3
2018/12/23,6,-2
2018/12/24,0,-2
2018/12/25,1,-1
2018/12/26,1,-5
2018/12/27,-6,-9
2018/12/28,-5,-11
2018/12/29,-3,-8
2018/12/30,-2,-8
2018/12/31,-1,-6
